title,logo,company_name,location,remote_status,min_salary,max_salary,salary_details,salary_text,tags,url,added_date,website
Junior Data Engineer (b2b cooperation)   NOWA,https://static.nofluffjobs.com/companies/logos/original/000597fe63aa1ee173effbaf7e6e5049_20240926_082530.png, Honeycomb Software ,,Remote,,,,Sprawdź zarobki," Data
 |  Python
 |  Data engineering
 |  Data modeling
",https://nofluffjobs.com/pl/job/junior-data-engineer-b2b-cooperation-honeycomb-software-remote,2024-11-20,nofluffjobs.com
Junior Python Software Engineer for Big Data,https://logos.gpcdn.pl/loga-firm/20111333/ee4d0000-5df0-0015-d07f-08dad1331079_280x280.png,AXA IT Solutions,,Remote,90.0,125.0,zł netto (+ VAT) / godz.,90–125 zł netto (+ VAT) / godz.,Databricks | Azure Event Hub | Azure Pipelines | Azure Data Factory | Python | Spark 3 | Delta Lake,"https://www.pracuj.pl/praca/junior-python-software-engineer-for-big-data-warszawa-chlodna-51,oferta,1003717674?s=7f934bc6&searchId=MTczMjEwOTY4NDk4OC45Njk1",2024-11-20,it.pracuj.pl
Data Engineer,https://logos.gpcdn.pl/loga-firm/20377151/9b030000-5dac-0015-03bb-08dac70cc112_280x280.png,Addepto,,Remote,8000.0,16000.0,zł / mies. (zal. od umowy),8 000–16 000 zł / mies. (zal. od umowy),Python | Apache Airflow | Dagster | Databricks | AWS | Azure Cosmos DB,"https://www.pracuj.pl/praca/data-engineer-bialystok,oferta,1003710608?s=7f934bc6&searchId=MTczMjEwOTY4NDk4OC45Njk1",2024-11-20,it.pracuj.pl
Junior Data Engineer - Data Scientist,https://logos.gpcdn.pl/loga-firm/1074185662/68570000-56be-0050-bfda-08dce96f1e8f_280x280.jpg,LIXAR GROUP sp. z o.o.,,Remote,,,,,Python | R | SQL,"https://www.pracuj.pl/praca/junior-data-engineer-data-scientist-warszawa-widok-20,oferta,1003705657?s=7f934bc6&searchId=MTczMjEwOTY4NDk4OC45Njk1",2024-11-20,it.pracuj.pl
Junior Python Software Engineer for Big Data,https://logos.gpcdn.pl/loga-firm/20111333/ee4d0000-5df0-0015-d07f-08dad1331079_280x280.png?width=96,AXA IT Solutions,"Warszawa, Wola",Remote,90.0,125.0,zł (B2B),90–125zł (B2B),Databricks | Azure Event Hub | Azure Pipelines | Azure Data Factory | Python | Spark 3 | Delta Lake,"https://theprotocol.it/szczegoly/praca/junior-python-software-engineer-for-big-data-warszawa-chlodna-51,oferta,a48a0000-a190-2695-ed93-08dd00148cee?s=-663943857&searchId=39e44290-a744-11ef-ad43-3f3cfeb4a086",2024-11-20,theprotocol.it
Sports Data Strategist with German - Internship Program (She/He/They),https://logos.gpcdn.pl/loga-firm/20311197/03000000-bb2f-3863-4f6e-08d911354377_280x280.png?width=96,Accenture Intelligent Consulting Hub Europe,,Remote,,,,,Python,"https://theprotocol.it/szczegoly/praca/sports-data-strategist-with-german---internship-program-she-he-they-gdansk,oferta,1f710000-9359-fe3c-2c11-08dd07e4a31f?s=-663943857&searchId=39e44290-a744-11ef-ad43-3f3cfeb4a086",2024-11-20,theprotocol.it
Junior Data Engineer - Data Scientist,https://logos.gpcdn.pl/loga-firm/1074185662/68570000-56be-0050-bfda-08dce96f1e8f_280x280.jpg?width=96,LIXAR GROUP sp. z o.o.,,Remote,,,,,Python | R | SQL,"https://theprotocol.it/szczegoly/praca/junior-data-engineer---data-scientist-warszawa-widok-20,oferta,d0ab0000-47ff-12fe-6222-08dcfd223c84?s=-663943857&searchId=39e44290-a744-11ef-ad43-3f3cfeb4a086",2024-11-20,theprotocol.it
Data Engineer,https://logos.gpcdn.pl/loga-firm/20377151/9b030000-5dac-0015-03bb-08dac70cc112_280x280.png?width=96,Addepto,Multiple locations offer (4),Remote,8000.0,16000.0,zł (B2B),8k–16kzł (B2B),Python | Apache Airflow | Dagster | Databricks | AWS | Azure Cosmos DB,"https://theprotocol.it/szczegoly/praca/data-engineer-bialystok,oferta,1f710000-9359-fe3c-a0c1-08dcfe6928f3?s=-663943857&searchId=39e44290-a744-11ef-ad43-3f3cfeb4a086",2024-11-20,theprotocol.it
Analityk,https://imgproxy.justjoinit.tech/bre6-GuaXwyz-5gVFPv32JHasawrhlMkKDfBOySdafA/h:200/w:200/plain/https://public.rocketjobs.pl/companies/logos/original/d32fdd6c513607ecbea8d25b7cf2daff33737415.png,Eurocash S.A.,Warszawa,Remote,,,,,Microsoft Office Excel | SQL,https://rocketjobs.pl/oferta-pracy/eurocash-s-a--mlodszy-analityk-warszawa-bi-data-c2167fa9,2024-11-20,rocketjobs.pl
Assistant Home&Living,https://imgproxy.justjoinit.tech/oRiPkosjMos4T-GO6cr8Gh_hNCGpLke4ntKxg10D9sA/h:200/w:200/plain/https://public.rocketjobs.pl/companies/logos/original/ac7cc7d8df4592516fe5087722a84bf27794a240.jpg,Limango,Wrocław,Remote,,,,,Microsoft Office Excel | język angielski,https://rocketjobs.pl/oferta-pracy/limango-assistant-home-living-wroclaw-bi-data,2024-11-20,rocketjobs.pl
Młodszy Inżynier Danych BI,https://imgproxy.justjoinit.tech/LqPlE0xrVEYOVYS0vTwczR5P_6y-Z5Wdw7Re1b9cgEc/h:200/w:200/plain/https://public.rocketjobs.pl/companies/logos/original/42b16d07ba4b392516943ef09f668b6d2d0b0ed3.jpg,Empik,Warszawa,Remote,,,,,Microsoft Power BI | SQL | Big data,https://rocketjobs.pl/oferta-pracy/empik-mlodszy-inzynier-danych-bi-warszawa-bi-data,2024-11-20,rocketjobs.pl
Data Software Engineering Program,https://imgproxy.justjoinit.tech/ZVKXog7e4Fi-XIADeB7xrvagj8a_QT6Uxbr7KBi-mmw/h:200/w:200/plain/https://public.justjoin.it/companies/logos/original/8b1cf467aa77e07c48bdc1666c5a009ecc37e448.png,EPAM Systems,,Remote,,,,,Kubernetes | Python | SQL,https://justjoin.it/job-offer/epam-systems-data-software-engineering-program-poland-remote--data,2024-11-20,justjoin.it
Data Analyst,https://imgproxy.justjoinit.tech/7FhafF75SXJCjpRAvdLWMWnKxcuXt3cb7tT5UgsvVUE/h:200/w:200/plain/https://stxnext.traffit.com/api/file/publicFileContent/259997,STX Next sp. z o.o.,Poznań,Remote,,,,,English | MS Excel | Tableau,https://justjoin.it/job-offer/stx-next-sp-z-o-o--data-analyst-poznan-data-1e870bd9,2024-11-20,justjoin.it
Junior Python Fullstack Developer,https://cdn.solid.jobs/companies/logos/ac62e172eaf240e2858698f7af06ff79, NotBug,Kraków,Remote,4500.0,5100.0,PLN,4.5k–5.1k PLN,Python | Django | Angular | Git,https://solid.jobs/offer/21378/notbug-junior-python-fullstack-developer,2024-11-20,solid.jobs
