title,logo,company_name,location,remote_status,min_salary,max_salary,salary_details,salary_text,website,tags,url,added_date,elapsed_days,application_status,application_date,feedback_received,feedback_date,time_until_feedback,notes,personal_rating
 Junior DWH-BI Developer ,https://static.nofluffjobs.com/companies/logos/original/microsoftteamsimage_34_20240916_104605.png, Miratech , Zdalnie   ,Stationary,9000.0,10000.0,PLN,9 000  – 10 000PLN,nofluffjobs.com, Data  |  SQL  |  BI  |  SSIS ,https://nofluffjobs.com/pl/job/junior-dwh-bi-developer-miratech-remote,2024-09-21,0.0,Not applied,,True,,,,
 Junior Oracle Database Developer ,https://static.nofluffjobs.com/companies/logos/original/datafuze_nfj_logo_20240129_134757_20240129_145638.jpeg, DataFuze , Warszawa   ,Stationary,7560.0,11088.0,PLN,7 560  – 11 088PLN,nofluffjobs.com, Data  |  SQL  |  PL/SQL  |  Oracle ,https://nofluffjobs.com/pl/job/junior-oracle-database-developer-datafuze-warszawa-1,2024-09-21,0.0,Not applied,,False,,,,
 Intern / Junior AI Engineer ,https://static.nofluffjobs.com/companies/logos/original/linkedin_profile__300x300_20240408_194005.jpg, Tangent , Poznań   ,Stationary,5500.0,9000.0,PLN,5 500  – 9 000PLN,nofluffjobs.com, AI  |  Python  |  pandas  |  PyTorch ,https://nofluffjobs.com/pl/job/intern-junior-ai-engineer-tangent-poznan-1,2024-09-21,0.0,Not applied,2024-09-03,False,2024-09-11,,,
 Junior AI/ML Reasercher ,, National Centre for Nuclear Research , Otwock   ,Stationary,4500.0,6500.0,PLN,4 500  – 6 500PLN,nofluffjobs.com, AI  |  Python  |  AI  |  Machine learning ,https://nofluffjobs.com/pl/job/junior-ai-ml-reasercher-national-centre-for-nuclear-research-otwock,2024-09-21,0.0,Not applied,,False,,,,
 Administrator Baz Danych ,, Connectis_ , Swadzim   ,Stationary,8000.0,11500.0,PLN,8 000  – 11 500PLN,nofluffjobs.com, Data  |  Windows  |  MSSQL  |  SSIS ,https://nofluffjobs.com/pl/job/administrator-baz-danych-connectis--swadzim,2024-09-21,0.0,Not applied,,False,,,,
Junior Big Data Analyst,https://logos.gpcdn.pl/loga-firm/18797270/f15b0000-56be-0050-f114-08dc48bae6d9_280x280.png?width=96,Decathlon sp. z o.o.,Warszawa,Hybrid,,,,,theprotocol.it,SQL | Python,"https://theprotocol.it/szczegoly/praca/junior-big-data-analyst-warszawa,oferta,eecf0000-387c-b216-951b-08dcd8b542fa?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Big Data Junior Scientist,https://logos.gpcdn.pl/loga-firm/1074014825/2c580000-43a8-f403-5268-08d92433fdc5_280x280.jpg?width=96,Citi Poland,Warszawa,Hybrid,,,,,theprotocol.it,SQL | Python | R | SAS,"https://theprotocol.it/szczegoly/praca/big-data-junior-scientist-warszawa,oferta,ba720000-1443-b21c-d1a6-08dcd8871671?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Inżynier ds. cyfryzacji,https://logos.gpcdn.pl/loga-firm/18804004/9b030000-5dac-0015-0f5c-08db6045de0a_280x280.png?width=96,Kongsberg Maritime Poland Sp. z o.o.,Szczecin,Hybrid,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/inzynier-ds-cyfryzacji-szczecin-ksiecia-ziemowita-10,oferta,39060000-9d78-f2e0-26b4-08dcd82d9658?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Junior Master Data Solution Owner,https://logos.gpcdn.pl/loga-firm/20075128/03000000-bb2f-3863-ee14-08d8de54de61_280x280.png?width=96,DOVISTA Polska,Wędkowy (pow. tczewski),Hybrid,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/junior-master-data-solution-owner-wedkowy-pow-tczewski,oferta,ba720000-1443-b21c-e7ec-08dcd7d6c603?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Junior Data Solutions Engineer,https://logos.gpcdn.pl/loga-firm/20086930/2c580000-43a8-f403-1da0-08d8d327fa8d_280x280.png?width=96,Cloud Technologies S.A.,"Warszawa, Śródmieście",Hybrid,,,,,theprotocol.it,Microsoft Excel | Google Workspace,"https://theprotocol.it/szczegoly/praca/junior-data-solutions-engineer-warszawa-dobra-40,oferta,39060000-9d78-f2e0-91d2-08dcd7d31a8c?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Programista Baz Danych,https://logos.gpcdn.pl/loga-firm/18798311/f15b0000-56be-0050-54b2-08dc682a442b_280x280.jpg?width=96,Transgourmet Polska Sp. z o.o.,"Poznań, Nowe Miasto",Stationary,,,,,theprotocol.it,MS SQL Server | .NET | SAP | ASP.NET | jQuery | Python | C#,"https://theprotocol.it/szczegoly/praca/mlodszy-programista-baz-danych-poznan-zamenhofa-133,oferta,eecf0000-387c-b216-1873-08dcd7cff32f?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
WEB3 Junior Python Developer/ka,https://logos.gpcdn.pl/loga-firm/1074157681/f15b0000-56be-0050-29aa-08dc6901a552_280x280.png?width=96,BLOCKWISE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Warszawa, Bemowo",Stationary,6000.0,8000.0,zł (zlec.),6k–8kzł (zlec.),theprotocol.it,Python | Linux | PostgreSQL | MySQL,"https://theprotocol.it/szczegoly/praca/web3-junior-python-developer-ka-warszawa-polczynska-112a,oferta,90c00000-1543-c628-7588-08dcc5c378f6?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
SQL Junior Developer,https://logos.gpcdn.pl/loga-firm/1074010714/9b030000-5dac-0015-ff4a-08dad831faf1_280x280.jpg?width=96,FULFILIO SP. Z O.O.,Oferta w wielu lokalizacjach (2),Hybrid,,,,,theprotocol.it,SQL,"https://theprotocol.it/szczegoly/praca/sql-junior-developer-lubna-pow-piaseczynski,oferta,eecf0000-387c-b216-c3ea-08dcd7be8c0f?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Specjalista ds. Analiz Logistycznych,https://logos.gpcdn.pl/loga-firm/18802262/2c580000-43a8-f403-45d9-08d6dec5119f_280x280.jpeg?width=96,Media Expert,"Łódź, Górna",Stationary,,,,,theprotocol.it,SQL,"https://theprotocol.it/szczegoly/praca/mlodszy-specjalista-ds-analiz-logistycznych-lodz-jedrzejowska-43,oferta,ba720000-1443-b21c-8100-08dcd7aacaa0?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Inżynier Danych/Data Scientist,https://logos.gpcdn.pl/loga-firm/20298444/2da80000-56be-0050-b934-08dc23270064_280x280.png?width=96,Centralne Biuro Antykorupcyjne,Warszawa,Stationary,5700.0,7700.0,zł (UoP),5.7k–7.7kzł (UoP),theprotocol.it,bazy wektorowe milvus | bazy wektorowe qdrant | Docker | Python,"https://theprotocol.it/szczegoly/praca/mlodszy-inzynier-danych-data-scientist-warszawa,oferta,39060000-9d78-f2e0-6282-08dcd7643c00?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Platform Specialist,https://logos.gpcdn.pl/loga-firm/20142168/2c580000-43a8-f403-db06-08d8e30f63ff_280x280.png?width=96,RTB House,,Remote,6000.0,13000.0,zł (B2B),6k–13kzł (B2B),theprotocol.it,Excel,"https://theprotocol.it/szczegoly/praca/platform-specialist-warszawa,oferta,39060000-9d78-f2e0-5e50-08dcd63d40e4?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Specjalista ds. GIS,https://logos.gpcdn.pl/loga-firm/20000254/2c580000-43a8-f403-2a9b-08d908bd7ff6_280x280.png?width=96,Apator Rector Sp. z o.o.,Zielona Góra,Hybrid,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/mlodszy-specjalista-ds-gis-zielona-gora-wroclawska-17b,oferta,eecf0000-387c-b216-7b8a-08dcd3cfeb90?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy konsultant ds. utrzymania baz danych,https://logos.gpcdn.pl/loga-firm/20002894/2c580000-43a8-f403-1fce-08d910886ffa_280x280.jpg?width=96,Asseco Business Solutions S.A.,Lublin,Stationary,,,,,theprotocol.it,SQL | Microsoft SQL Server,"https://theprotocol.it/szczegoly/praca/mlodszy-konsultant-ds-utrzymania-baz-danych-lublin-konrada-wallenroda-4c,oferta,aa3c0000-a366-0204-6e21-08dcd316df8d?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
